Number of Contributors,Reside in US,Age,Relationship Status,Country,Currency Used,Financially Independent,FI Number,Percent of FI Amount,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,FI Number [Retired],Retired,Intended Retirement Age,Work if FI,Annual Withdrawal Rate,Annual Withdrawal Amount,Working Industry,Employer Type,Job Role,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,No,18-23,"Single, never married",Canada,CAD,No,559284.1163310962,10.0,745712.1551081283,5.0,1118.5682326621925,29828.48620432513,,,29-33,Yes,,,Public Administration (Civilian Government),Public agency,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Live with family or friends,,52945.56301267711,11185.682326621923,35943.325876211784,33557.04697986577,2020
2,No,29-33,Married,Canada,CAD,No,1304996.2714392245,66.0,1491424.3102162569,3.5,8948.54586129754,59656.97240865026,,,69+,Partially,,,Professional & Business Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Rent,71-80,858314.6905294557,0.0,140734.52647278152,149142.43102162564,2020
1,No,39-43,Married,Canada,CAD,Yes,,,,,,,1864.2803877703209,No,39-43,Yes,,,Information Technology,Public corporation,Information Technology,,For an Organization (Employed),,,Rent,71-80,1916480.2386278897,0.0,348396.71886651753,350484.7129008203,2020
1,No,29-33,"In a relationship, but not married",Canada,CAD,No,820283.3706189411,10.0,1142010.4399701715,3.5,11558.538404175988,37285.60775540641,,,44-48,Undecided,,,Financial Services,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,84638.32960477256,14168.530947054438,49324.38478747204,45488.44146159582,2020
2,No,29-33,Married,Canada,CAD,No,1864280.3877703208,37.0,1864280.3877703208,3.2,17897.09172259508,59656.97240865026,,,54-58,Undecided,,,Professional & Business Services,Public corporation,Marketing,For an Organization (Employed),,,,Rent,71-80,693512.3042505593,0.0,117979.12005965695,115585.38404175988,2020
2,No,29-33,"In a relationship, but not married",Canada,CAD,No,596569.7240865026,3.25,447427.293064877,3.5,11931.394481730053,15659.955257270694,,,44-48,No,,,Healthcare,Nonprofit corporation,Management - Upper,For an Organization (Employed),,,,Rent,71-80,23117.076808351976,0.0,40343.02759134974,82028.33706189411,2020
1,No,29-33,"Single, never married",Canada,CAD,No,1864280.3877703208,20.0,1864280.3877703208,4.0,8948.54586129754,55928.41163310962,,,49-53,Partially,,,Natural Resources,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,381804.6234153617,67.11409395973155,100074.57121551082,104399.70171513796,2020
2,No,34-38,Married,Canada,CAD,No,745712.1551081283,35.0,745712.1551081283,4.0,29828.48620432513,44742.729306487694,,,44-48,Partially,,,Construction,Private corporation,"Professional (non-licensed, certified)",,,For Myself (Self-Employed),,Own,61-70,742058.1655480985,219985.08575689784,102908.2774049217,89485.45861297539,2020
2,No,29-33,Married,Canada,CAD,No,596569.7240865026,30.0,745712.1551081283,3.5,11185.682326621923,26099.92542878449,,,44-48,Undecided,,,Public Administration (Civilian Government),Public agency,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,518269.9478001492,103653.98956002983,116074.57121551082,126771.0663683818,2020
1,No,29-33,"In a relationship, but not married",Canada,CAD,No,1491424.3102162569,8.0,1491424.3102162569,3.5,7457.121551081283,52199.85085756898,,,44-48,Partially,,,Financial Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,350932.1401938852,172259.50782997764,101369.87322893363,89485.45861297539,2020
1,No,29-33,"Single, never married",Canada,CAD,No,1491424.3102162569,50.0,2609992.542878449,2.5,1118.5682326621925,7457.121551081283,,,39-43,Partially,,,Information Technology,Public agency,Information Technology,For an Organization (Employed),,,,Own,71-80,1092468.307233408,305741.9835943326,56972.408650261,55928.41163310962,2020
1,No,34-38,"Single, never married",Canada,CAD,No,,,,3.0,,,,,49-53,Yes,,,Natural Resources,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,,0.0,0.0,0.0,,2020
1,No,18-23,"Single, never married",Canada,CAD,No,745712.1551081283,20.0,745712155.1081283,5.0,74571.21551081282,74571.21551081282,,,Undecided,Partially,,,Information Technology,Self-employed,Skilled Laborer / Skilled Trade,For Myself (Self-Employed),,,,Rent,61-70,891126.0253542133,0.0,13795.674869500372,74571.21551081282,2020
1,No,44-48,Married,Canada,CAD,Yes,,,,,,,2237136.4653243846,Yes,,,2.460850111856823,100000.0,Information Technology,Public corporation,Consultant,For an Organization (Employed),,,,Own,61-70,3094705.443698732,0.0,335570.4697986577,447427.293064877,2020
1,No,18-23,"Single, never married",Canada,CAD,No,1491424.3102162569,4.5,,,,,,,,Yes,,,,,,,,,,Rent,71-80,70246.08501118569,372.85607755406414,18419.09023117077,14168.530947054438,2020
1,No,49-53,Married,Canada,CAD,No,1342281.879194631,70.0,1342281.879194631,4.0,7457.121551081283,48471.29008202834,,,54-58,Undecided,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,1552572.706935123,0.0,155480.98434004476,130499.62714392244,2020
1,No,34-38,Married,Canada,CAD,No,1491424.3102162569,50.0,1491424.3102162569,4.0,14914.243102162563,29828.48620432513,,,39-43,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,765376.5846383296,745.7121551081283,103355.70469798658,111856.82326621925,2020
2,No,39-43,Married,Canada,CAD,No,3728560.7755406415,50.0,3728560.7755406415,3.0,,55928.41163310962,,,59-63,No,,,Construction,Self-employed,Management - Upper,For Myself (Self-Employed),,,,Own,121-130,1580909.7688292318,0.0,90231.17076808352,134228.1879194631,2020
1,No,24-28,"In a relationship, but not married",Canada,CAD,No,894854.586129754,2.4,894854.586129754,3.5,5385.533184190903,29828.48620432513,,,44-48,Yes,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,41841.16331096197,138.70246085011186,30331.09619686801,47598.06114839672,2020
2,No,34-38,Married,Canada,CAD,No,,,,,,,745712.1551081283,No,39-43,Undecided,,,Construction,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,753392.990305742,0.0,142431.0216256525,111856.82326621925,2020
2,No,29-33,"In a relationship, but not married",Canada,CAD,No,745712.1551081283,50.0,1304996.2714392245,3.5,11185.682326621923,22371.364653243847,,,49-53,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),For an Organization (Employed),,,Rent,71-80,387770.3206562267,11185.682326621923,84265.47352721849,89485.45861297539,2020
2,No,49-53,Married,Canada,CAD,Yes,,,,,,,1006711.4093959732,No,54-58,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,1416853.0947054438,0.0,40641.31245339299,123042.50559284116,2020
1,No,24-28,"In a relationship, but not married",Canada,CAD,No,,,39.5227442207308,,,,,,49-53,Undecided,,,Utilities,Public agency,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Own,61-70,130499.62714392244,0.0,17897.09172259508,29082.774049217,2020
2,No,24-28,"In a relationship, but not married",Canada,CAD,No,2237136.4653243846,7.0,2237136.4653243846,3.0,521.9985085756898,29828.48620432513,,,54-58,Partially,,,Financial Services,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Live with family or friends,71-80,193885.16032811336,0.0,138329.6047725578,175242.35645041015,2020
1,No,24-28,"Single, never married",Canada,CAD,No,745712.1551081283,14.0,1118568.2326621923,3.5,,29828.48620432513,,,44-48,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,310216.25652498135,164056.67412378822,77628.63534675616,72334.07904548844,2020
2,No,34-38,Married,Canada,CAD,No,3728560.7755406415,10.0,3728560.7755406415,3.5,0.0,130499.62714392244,,,54-58,Undecided,,,Professional & Business Services,Self-employed,Marketing,,For Myself (Self-Employed),,,Own,61-70,399701.7151379568,365398.95600298286,395173.0052199851,410141.6853094706,2020
1,No,24-28,"Single, never married",Canada,CAD,No,633855.3318419091,24.0,671140.9395973155,3.5,0.0,18642.803877703205,,,34-38,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,155108.12826249067,0.0,83124.53392990306,82028.33706189411,2020
1,No,29-33,"In a relationship, but not married",Canada,CAD,No,1491424.3102162569,30.0,1864280.3877703208,3.0,,74571.21551081282,,,39-43,Undecided,,,Healthcare,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,521998.5085756898,13422.818791946307,13422.818791946307,149142.43102162564,2020
1,No,39-43,"Single, never married",Canada,CAD,No,372856.07755406416,80.0,447427.293064877,3.5,29828.48620432513,18642.803877703205,,,39-43,Yes,,,Public Administration (Civilian Government),Public agency,Information Technology,For an Organization (Employed),,,,Own,71-80,460850.11185682326,0.0,67710.66368381804,88739.74645786727,2020
2,No,24-28,Married,Canada,CAD,No,2609992.542878449,3.5,2609992.542878449,3.5,7457.121551081283,74571.21551081282,,,49-53,No,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,85011.18568232663,7457.121551081283,102908.2774049217,119313.94481730052,2020
2,No,29-33,"In a relationship, but not married",Canada,CAD,No,1789709.172259508,36.0,1864280.3877703208,3.5,11931.394481730053,63385.53318419091,,,39-43,Partially,,,Financial Services,Private corporation,Information Technology,For an Organization (Employed),,,,,71-80,1392990.3057419837,593959.7315436242,148844.1461595824,188665.1752423565,2020
1,No,39-43,"Single, never married",Canada,CAD,No,894854.586129754,65.0,1118568.2326621923,3.5,9321.401938851604,37285.60775540641,,,44-48,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,1083146.9052945564,148023.86278896345,80686.05518269948,89485.45861297539,2020
1,No,29-33,"Single, never married",Canada,CAD,No,372856.07755406416,35.0,745712.1551081283,4.0,,26099.92542878449,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,135719.61222967933,0.0,41237.88217747949,46234.15361670395,2020
2,No,29-33,"In a relationship, but not married",Canada,CAD,No,1864280.3877703208,52.0,1864280.3877703208,4.0,0.0,63385.53318419091,,,Undecided,Undecided,,,Professional & Business Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,974645.7867263237,85756.89783743475,304847.1290082028,313199.1051454139,2020
2,No,29-33,Married,Canada,CAD,No,1118568.2326621923,10.0,1491424.3102162569,4.5,44742.729306487694,37285.60775540641,,,44-48,Undecided,,,Professional & Business Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,710663.6838180462,356450.41014168534,71662.93810589112,134228.1879194631,2020
1,No,29-33,"Single, never married",Canada,CAD,No,745712.1551081283,40.0,372856.07755406416,3.0,7457.121551081283,14914.243102162563,,,34-38,Partially,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,136465.32438478747,0.0,86398.21029082774,99179.71662938106,2020
2,No,29-33,Married,Canada,CAD,No,2237136.4653243846,17.0,2237136.4653243846,3.5,,74571.21551081282,,,39-43,Undecided,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,384041.75988068606,0.0,159373.60178970918,158389.26174496644,2020
1,No,24-28,"In a relationship, but not married",Canada,CAD,No,1491424.3102162569,,2.087994034302759,3.5,10087.99403430276,59656.97240865026,,,44-48,Yes,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,66352.72184936615,0.0,63901.90902311707,52410.88739746458,2020
1,No,24-28,"In a relationship, but not married",Canada,CAD,No,745712.1551081283,12.0,745712.1551081283,3.5,37285.60775540641,29828.48620432513,,,54-58,Partially,,,"Trade, transportation, utilities",Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,82028.33706189411,0.0,31543.624161073825,46979.86577181208,2020
2,No,29-33,Married,Canada ,CAD,No,1491424.3102162569,25.0,1491424.3102162569,4.0,67114.09395973154,59656.97240865026,,,49-53,Yes,,,Natural Resources,Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Own,,648769.5749440716,74571.21551081282,25354.21327367636,193885.16032811336,2020
1,No,24-28,"Single, never married",Cyprus,EUR,No,570125.4275940707,12.0,684150.5131128848,4.0,22805.017103762828,27366.020524515392,,,34-38,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,61-70,69555.30216647663,21664.766248574688,21778.7913340935,31356.89851767389,2020
2,No,24-28,"In a relationship, but not married",England ,GBP,No,513478.8189987163,25.0,577663.6713735558,4.0,15404.364569961488,23106.546854942237,,,39-43,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,318485.23748395377,191527.5994865212,63157.89473684211,59691.912708600765,2020
1,No,29-33,"Single, never married",Estonia,EUR,No,342075.2565564424,12.0,570125.4275940707,4.0,9122.006841505132,17103.76282782212,,,49-53,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,51-60,51311.28848346637,0.0,32041.049030786773,38768.52907639681,2020
1,No,,,EU,EUR,No,1140250.855188141,0.7,1140250.855188141,3.5,,,,,49-53,Undecided,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,10832.383124287344,22805.017103762828,15279.361459521097,30786.773090079816,2020
1,No,29-33,"In a relationship, but not married",EU,EUR,No,570125.4275940707,25.0,570125.4275940707,3.0,22805.017103762828,45610.034207525656,,,49-53,Yes,,,Financial Services,Private corporation,Consultant,For an Organization (Employed),,,,Own,81-90,564424.17331813,417331.8129988597,80159.63511972634,68415.05131128848,2020
1,No,24-28,"Single, never married",EU,EUR,No,,,,3.3,912.2006841505132,,,,,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,51-60,393606.6134549601,85518.8141391106,38768.52907639681,100693.2725199544,2020
1,No,24-28,"Single, never married",Finland,EUR,No,855188.1413911061,3.0,1710376.282782212,3.0,11402.508551881414,39908.77993158495,,,39-43,Yes,,,Education,,,,,,,Live with family or friends,,47890.535917901936,3990.877993158495,0.0,,2020
2,No,39-43,Married,Finland,EUR,Yes,,,,,,,2280501.7103762827,No,44-48,Partially,,,Other Services,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,81-90,4275940.70695553,513112.88483466365,171835.8038768529,210946.40820980616,2020
1,No,29-33,"In a relationship, but not married",France,EUR,No,4561003.420752565,2.5,4561003.420752565,5.0,22805.017103762828,22805.017103762828,,,54-58,Partially,,,Manufacturing,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,61-70,211482.3261117446,162649.94298745724,34681.870011402505,52451.5393386545,2020
